batch_idx,round_i,sample_idx,kind,alpha,r,tol_accept,accept,mse,sse_p,sse_q,logp,logq,log_ratio,ratio,sigma_eff,sigma_mode,bias,mean_xi_minus_q,var_xi_minus_q,mean_xi_minus_p,var_xi_minus_p
0,0,0,proposal,2.6786315644705864e-37,0.6726659536361694,True,True,0.15361258387565613,103.22765350341797,0.1699623465538025,-84.3492202758789,-0.13887935876846313,-84.21034240722656,2.6786315644705864e-37,0.7822444438934326,adaptive,1.0,3.658628702396527e-05,0.0002529188059270382,0.12573008239269257,0.1378045231103897
0,0,1,proposal,2.754209307949358e-37,0.17151977121829987,True,True,0.16029655933380127,107.71928405761719,0.18588632345199585,-84.32803344726562,-0.14552108943462372,-84.18251037597656,2.754230607686016e-37,0.799182116985321,adaptive,1.0,4.962851744494401e-05,0.0002766141260508448,0.13293668627738953,0.1426244080066681
0,0,2,proposal,3.564728635401741e-37,0.3889229893684387,True,True,0.2012629359960556,135.24868774414062,0.16831977665424347,-84.02913665771484,-0.1045759916305542,-83.924560546875,3.564728635401741e-37,0.8970911502838135,adaptive,1.0,0.00010488654515938833,0.0002504648582544178,0.1710776388645172,0.1719953715801239
1,0,0,proposal,3.612476591379022e-37,0.7847285270690918,True,True,0.17919638752937317,120.41996765136719,0.2069871425628662,-84.05573272705078,-0.14448148012161255,-83.9112548828125,3.612476591379022e-37,0.846351146697998,adaptive,1.0,-0.000701759709045291,0.00030752411112189293,0.144941508769989,0.1581883281469345
1,0,1,proposal,3.6805236448066353e-37,0.8681128025054932,True,True,0.16681258380413055,112.09805297851562,0.16756632924079895,-84.01818084716797,-0.12559199333190918,-83.89258575439453,3.6805516707759218e-37,0.816765546798706,adaptive,1.0,0.00021451193606480956,0.0002493086794856936,0.11104992777109146,0.15448050200939178
1,0,2,proposal,3.0204566887943363e-37,0.8619871735572815,True,True,0.15941843390464783,107.12918090820312,0.20294559001922607,-84.24983978271484,-0.15960294008255005,-84.09024047851562,3.0204566887943363e-37,0.797359824180603,adaptive,1.0,0.00025906393420882523,0.00030193524435162544,0.11685798317193985,0.145762637257576
2,0,0,proposal,2.9955566240181786e-37,0.4178178906440735,True,True,0.15804176032543182,106.20406341552734,0.19584991037845612,-84.25389099121094,-0.1553718000650406,-84.09851837158203,2.9955566240181786e-37,0.7938904762268066,adaptive,1.0,0.0008649742230772972,0.0002906951413024217,0.16011571884155273,0.13240471482276917
2,0,1,proposal,2.8581401398281383e-37,0.9584109783172607,True,True,0.18762731552124023,126.08555603027344,0.1938191056251526,-84.2750244140625,-0.1295478194952011,-84.14547729492188,2.8581401398281383e-37,0.8649046421051025,adaptive,1.0,0.000348701054463163,0.0002882996923290193,0.22360418736934662,0.1376284807920456
2,0,2,proposal,2.877613480119413e-37,0.44944655895233154,True,True,0.19760087132453918,132.78778076171875,0.16998980939388275,-84.24653625488281,-0.10784917324781418,-84.13868713378906,2.877613480119413e-37,0.8877446055412292,adaptive,1.0,-0.0002197088033426553,0.0002529127523303032,0.24241194128990173,0.1388373076915741
0,0,0,proposal,2.911955830259823e-37,0.5704459547996521,False,False,0.3003399670124054,201.82846069335938,0.1699623465538025,-84.19772338867188,-0.07090398669242859,-84.12681579589844,2.911978251035252e-37,1.0947779417037964,adaptive,1.0,3.658628702396527e-05,0.0002529188059270382,0.16236825287342072,0.27397653460502625
0,0,1,proposal,3.29386840421996e-37,0.9102672338485718,False,False,0.27921372652053833,187.63162231445312,0.18588632345199585,-84.0868911743164,-0.08330473303794861,-84.00358581542969,3.29386840421996e-37,1.0562673807144165,adaptive,1.0,4.962851744494401e-05,0.0002766141260508448,0.15610715746879578,0.2548442780971527
0,0,2,proposal,4.099723089344299e-37,0.5065196752548218,False,False,0.2521813213825226,169.46585083007812,0.16831977665424347,-83.86803436279297,-0.08330084383487701,-83.78473663330078,4.099691700258698e-37,1.0051430463790894,adaptive,1.0,0.00010488654515938833,0.0002504648582544178,0.11775462329387665,0.2383151799440384
0,0,0,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,1.0947779417037964,adaptive,1.0,nan,nan,0.00039639908936806023,0.0002479837858118117
0,0,1,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,1.0562673807144165,adaptive,1.0,nan,nan,-0.000800867157522589,0.0002674980787560344
0,0,2,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,1.0051430463790894,adaptive,1.0,nan,nan,0.0006661798106506467,0.000257371662883088
1,0,0,proposal,4.001180194008909e-37,0.6236283779144287,False,False,0.28352630138397217,190.5296630859375,0.18143320083618164,-83.88894653320312,-0.07988382875919342,-83.8090591430664,4.001180194008909e-37,1.0656484365463257,adaptive,1.0,-0.0006372019415721297,0.0002695838629733771,0.1714981496334076,0.25411468744277954
1,0,1,proposal,4.333607650311511e-37,0.5578698515892029,False,False,0.2724873423576355,183.11148071289062,0.19724220037460327,-83.81953430175781,-0.09028788655996323,-83.729248046875,4.333607650311511e-37,1.045129656791687,adaptive,1.0,0.00035785420914180577,0.00029338712920434773,0.14177928864955902,0.2523859441280365
1,0,2,proposal,3.2436427283499985e-37,0.5078268647193909,False,False,0.2796780467033386,187.94363403320312,0.20458558201789856,-84.11051177978516,-0.0915582925081253,-84.01895141601562,3.2436427283499985e-37,1.0569968223571777,adaptive,1.0,0.0010209307074546814,0.0003034005349036306,0.09607215225696564,0.2704481780529022
1,0,0,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,1.0656484365463257,adaptive,1.0,nan,nan,0.0003655997570604086,0.0002617561549413949
1,0,1,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,1.045129656791687,adaptive,1.0,nan,nan,0.00036292828735895455,0.0002537038817536086
1,0,2,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,1.0569968223571777,adaptive,1.0,nan,nan,-0.00044114410411566496,0.0002892968477681279
2,0,0,proposal,2.159281879207014e-37,0.902148962020874,False,False,0.30287137627601624,203.52955627441406,0.1919001042842865,-84.50554656982422,-0.07967699319124222,-84.42587280273438,2.159281879207014e-37,1.0973776578903198,adaptive,1.0,-0.0003755918878596276,0.00028542455402202904,0.08123315870761871,0.29627254605293274
2,0,1,proposal,3.427982756604788e-37,0.7470146417617798,False,False,0.31462594866752625,211.4286346435547,0.18465003371238708,-84.03707122802734,-0.073393315076828,-83.96367645263672,3.427982756604788e-37,1.121583104133606,adaptive,1.0,-0.0006578938337042928,0.00027434402727521956,0.1376643031835556,0.29567447304725647
2,0,2,proposal,4.0833034586664804e-37,0.26391831040382385,False,False,0.33590495586395264,225.72811889648438,0.16103041172027588,-83.84855651855469,-0.059816062450408936,-83.78874206542969,4.0833034586664804e-37,1.1601924896240234,adaptive,1.0,-0.00014254648704081774,0.0002396082563791424,0.14846813678741455,0.313862144947052
2,0,0,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,1.0973776578903198,adaptive,1.0,nan,nan,-0.0001186174777103588,0.00029373407596722245
2,0,1,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,1.121583104133606,adaptive,1.0,nan,nan,-0.0003467364876996726,0.000305811467114836
2,0,2,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,1.1601924896240234,adaptive,1.0,nan,nan,-0.00017800330533646047,0.00025432987604290247
0,0,0,proposal,2.7228903993755757e-37,0.6261138319969177,True,True,0.13081525266170502,87.90785217285156,0.1699623465538025,-84.35704803466797,-0.16309717297554016,-84.19395446777344,2.7228903993755757e-37,0.7218353748321533,adaptive,1.0,3.658628702396527e-05,0.0002529188059270382,0.06939157098531723,0.1260000765323639
0,0,1,proposal,2.476932250839741e-37,0.913435697555542,True,True,0.12037259340286255,80.890380859375,0.18588632345199585,-84.4827651977539,-0.19414164125919342,-84.28861999511719,2.4769510842911014e-37,0.6919096112251282,adaptive,1.0,4.962851744494401e-05,0.0002766141260508448,0.061443500220775604,0.11659728735685349
0,0,2,proposal,4.106516584299345e-37,0.15736445784568787,True,True,0.12661035358905792,85.08216094970703,0.16831977665424347,-83.94915008544922,-0.16607831418514252,-83.78307342529297,4.106516584299345e-37,0.7118625044822693,adaptive,1.0,0.00010488654515938833,0.0002504648582544178,0.04712185636162758,0.1243898868560791
0,1,0,proposal,2.975307973312562e-37,0.7847285270690918,True,True,0.09103202074766159,61.173519134521484,0.18318884074687958,-84.35791778564453,-0.2526163160800934,-84.10530090332031,2.975307973312562e-37,0.6021487712860107,adaptive,1.0,-0.0006700930534861982,0.0002721534692682326,-0.03399723395705223,0.0898762121796608
0,1,1,proposal,3.1915283263578814e-37,0.8681128025054932,True,True,0.08464889973402023,56.88405990600586,0.19314289093017578,-84.32144927978516,-0.28630319237709045,-84.03514862060547,3.1915283263578814e-37,0.580779492855072,adaptive,1.0,-0.00028508840478025377,0.0002873337361961603,-0.029590390622615814,0.08377330750226974
0,1,2,proposal,1.459427799845202e-37,0.8619871735572815,True,True,0.09255387634038925,62.19620132446289,0.20135702192783356,-85.09308624267578,-0.27548453211784363,-84.8176040649414,1.459427799845202e-37,0.6045326590538025,adaptive,1.0,-0.00015122019976843148,0.00029961555264890194,-0.017073892056941986,0.09226235747337341
0,2,0,proposal,3.147518362060156e-37,0.8161815404891968,True,True,0.11740948259830475,78.899169921875,0.1702873855829239,-84.23082733154297,-0.1817946583032608,-84.04903411865234,3.147518362060156e-37,0.6843616962432861,adaptive,1.0,-0.00017030023445840925,0.00025337483384646475,0.027465645223855972,0.11665511131286621
0,2,1,proposal,3.171236851971195e-37,0.9722701907157898,True,True,0.1105770617723465,74.30778503417969,0.20024272799491882,-84.26860809326172,-0.2270849049091339,-84.0415267944336,3.171236851971195e-37,0.6640017628669739,adaptive,1.0,0.0018762617837637663,0.00029445989639498293,0.03716370835900307,0.10919592529535294
0,2,2,proposal,3.022462227156478e-37,0.8870962858200073,True,True,0.11337175220251083,76.1858139038086,0.21244552731513977,-84.32472229003906,-0.23514102399349213,-84.08958435058594,3.0224389095500316e-37,0.6721165776252747,adaptive,1.0,-0.00054657127475366,0.00031584041425958276,0.0479821152985096,0.1110694631934166
1,0,0,proposal,2.9183170526645947e-37,0.1548151671886444,True,True,0.12481368333101273,83.87479400634766,0.1460423320531845,-84.27136993408203,-0.1467328518629074,-84.1246337890625,2.9183392492322696e-37,0.7054409980773926,adaptive,1.0,0.0003972922277171165,0.00021716706396546215,0.029020894318819046,0.12397146224975586
1,0,1,proposal,3.0220010318058994e-37,0.8669856190681458,True,True,0.12549149990081787,84.33028411865234,0.19249512255191803,-84.28211975097656,-0.19238518178462982,-84.08973693847656,3.0219779384072073e-37,0.707308828830719,adaptive,1.0,-0.0004881294153165072,0.0002862128021661192,-0.013289006426930428,0.1253148913383484
1,0,2,proposal,4.5278814273279605e-37,0.6430889964103699,True,True,0.13197563588619232,88.6876220703125,0.17353104054927826,-83.84945678710938,-0.164064422249794,-83.68539428710938,4.5278814273279605e-37,0.7272209525108337,adaptive,1.0,-0.0006453125970438123,0.00025781430304050446,0.0015324752312153578,0.1319732815027237
1,1,0,proposal,2.5711847065889995e-37,0.9643725156784058,True,True,0.10153661668300629,68.23260498046875,0.18846549093723297,-84.48463439941406,-0.23335528373718262,-84.25128173828125,2.5711847065889995e-37,0.635465681552887,adaptive,1.0,0.0005559728015214205,0.0002801454975269735,-0.05370486527681351,0.0986524224281311
