batch_idx,round_i,sample_idx,kind,alpha,r,tol_accept,accept,mse,sse_p,sse_q,logp,logq,log_ratio,ratio,sigma_eff,sigma_mode,bias,mean_xi_minus_q,var_xi_minus_q,mean_xi_minus_p,var_xi_minus_p
0,0,0,proposal,0.47060155868530273,0.6261138319969177,False,False,8.694269180297852,5842.548828125,5828.9814453125,-324.5860595703125,-323.8323059082031,-0.753753662109375,0.4705967903137207,3.0,fixed,1.0,0.05595676228404045,8.67094898223877,0.034805357456207275,8.693058013916016
0,0,1,proposal,6.657098128926009e-05,0.913435697555542,False,False,8.829550743103027,5933.4580078125,5760.34765625,-329.6365661621094,-320.0193176269531,-9.61724853515625,6.657053745584562e-05,3.0,fixed,1.0,-0.0034834174439311028,8.57193374633789,-0.05404622480273247,8.826628684997559
0,0,2,proposal,0.003139137290418148,0.15736445784568787,False,False,9.12524700164795,6132.166015625,6028.41748046875,-340.6759033203125,-334.9120788574219,-5.763824462890625,0.0031390832737088203,3.0,fixed,1.0,0.06286650151014328,8.966907501220703,0.005497983656823635,9.12521743774414
0,0,0,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,3.0,fixed,1.0,nan,nan,-0.2822616398334503,8.233928680419922
0,0,1,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,3.0,fixed,1.0,nan,nan,-0.07985938340425491,9.06086540222168
0,0,2,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,3.0,fixed,1.0,nan,nan,0.052308980375528336,8.98265552520752
0,1,4,proposal,0.00013022658822592348,0.03908691555261612,False,False,9.258132934570312,6221.46533203125,6060.43310546875,-345.636962890625,-336.69073486328125,-8.94622802734375,0.00013022744678892195,3.0,fixed,1.0,-0.07670675963163376,9.012618064880371,-0.1717761904001236,9.228626251220703
0,1,16,proposal,8.363020356227935e-07,0.832735002040863,False,False,9.006752014160156,6052.537109375,5800.64013671875,-336.2520751953125,-322.2577819824219,-13.994293212890625,8.362876542378217e-07,3.0,fixed,1.0,0.20284824073314667,8.590757369995117,0.14789026975631714,8.984880447387695
0,1,23,proposal,0.00011081304546678439,0.6399073600769043,False,False,9.808362007141113,6591.21923828125,6427.28125,-366.1788330078125,-357.0711669921875,-9.107666015625,0.00011081304546678439,3.0,fixed,1.0,-0.053541991859674454,9.561540603637695,-0.19359640777111053,9.770881652832031
0,1,4,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,3.0,fixed,1.0,nan,nan,0.04401414841413498,8.868024826049805
0,1,16,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,3.0,fixed,1.0,nan,nan,0.04649705812335014,9.277311325073242
0,1,23,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,3.0,fixed,1.0,nan,nan,-0.005739501677453518,9.95008373260498
1,0,0,proposal,2.1685251340386458e-05,0.1548151671886444,False,False,8.4614896774292,5686.12109375,5492.8212890625,-315.8956298828125,-305.15673828125,-10.7388916015625,2.168496030208189e-05,3.0,fixed,1.0,0.07452081143856049,8.16828727722168,0.07076198607683182,8.45648193359375
1,0,1,proposal,7.461264613084495e-05,0.8669856190681458,False,False,9.819067001342773,6598.4130859375,6427.35546875,-366.5784912109375,-357.0753173828125,-9.503173828125,7.461463974323124e-05,3.0,fixed,1.0,-0.18893837928771973,9.528820991516113,-0.2439960390329361,9.759532928466797
1,0,2,proposal,0.059409771114587784,0.6430889964103699,False,False,9.167654991149902,6160.6640625,6109.8447265625,-342.2591247558594,-339.4358215332031,-2.82330322265625,0.05940937623381615,3.0,fixed,1.0,-0.1651955544948578,9.064741134643555,-0.1583699882030487,9.142574310302734
1,0,0,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,3.0,fixed,1.0,nan,nan,-0.08423740416765213,9.274885177612305
1,0,1,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,3.0,fixed,1.0,nan,nan,0.08252505213022232,10.044967651367188
1,0,2,target_draw,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,3.0,fixed,1.0,nan,nan,-0.05807974189519882,9.600763320922852
1,1,5,proposal,0.015309514477849007,0.5024760961532593,False,False,9.44703483581543,6348.4072265625,6273.18017578125,-352.6893005371094,-348.510009765625,-4.179290771484375,0.01530936174094677,3.0,fixed,1.0,0.03572544828057289,9.33381462097168,-0.008916488848626614,9.446955680847168
